States ,Regular,Electrical 
AL,RAM 1500,BMW i8
AK,RAM 1500,Tesla Model X
AZ,RAM 1500,Tesla Model X
AR,RAM 1500,BMW i8
CA,Honda Civic,Tesla Model S
CO,Ford F-Series,Tesla Model X
CT,Honda CR-V,BMW i8
DE,Ford F-Series,Tesla Model S
FL,Toyota Corolla,BMW i8
GA,Ford F-Series,BMW i8
HI,Toyota Tacoma,Nissan LEAF
ID,Ford F-Series,Chevy Bolt
IL,Ford F-Series,Mitsubishi i-MiEV
IN,Chevrolet Silverado,BMW i8
IA,Chevrolet Silverado,Tesla Model X
KS,Ford F-Series,Ford Fusion Energi
KY,Chevrolet Silverado,Tesla Model S
LA,Ford F-Series,BMW i8
ME,Ford F-Series,BMW i8
MD,Toyota RAV4,Tesla Model S
MA,Toyota RAV4,Chevy Bolt
MI,Ford F-Series,Chevy Bolt
MN,Chevrolet Silverado,Tesla Model S
MS,Ford F-Series,BMW i8
MO,Ford F-Series,Tesla Model S
MT,Ford F-Series,Tesla Model S
NE,Ford F-Series,Tesla Model S
NV,RAM 1500,BMW i8
NH,Ford F-Series,Chevy Bolt
NJ,Honda CR-V,BMW i8
NM,Ford F-Series,Chevy Bolt
NY,Honda CR-V,Mitsubishi i-MiEV
NC,Ford F-Series,BMW i8
ND,Ford F-Series,Tesla Model X
OH,Ford F-Series,BMW i8
OK,Ford F-Series,BMW i8
OR,Toyota RAV4,Kia Soul EV
PA,Ford F-Series,BMW i8
RI,Toyota RAV4,BMW i8
SC,Ford F-Series,BMW i8
SD,Ford F-Series,Chevy Bolt
TN,Ford F-Series,BMW i8
TX,Ford F-Series,Tesla Model S
UT,Ford F-Series,Tesla Model X
VT,Ford F-Series,Chevy Bolt
VA,Ford F-Series,Tesla Model S
WA,Toyota RAV4,Kia Soul EV
WV,Ford F-Series,Chevy Bolt
WI,Ford F-Series,Tesla Model S
WY,RAM 1500,Chevy Bolt