States,Avg kWh Rate
AL,21.79
AK,11.76
AZ,9.3
AR,12.12
CA,18.31
CO,11.91
CT,21.5
DE,12.14
FL,11.65
GA,11.01
HI,32.08
ID,11
IL,9.81
IN,12.38
IA,12.14
KS,10.33
KY,10.34
LA,9.12
ME,21.96
MD,13.07
MA,17.27
MI,14.91
MN,12.55
MS,9.58
MO,10.89
MT,10.59
NE,10.86
NV,9.11
NH,9.51
NJ,19.93
NM,15.71
NY,12.18
NC,11.76
ND,17.3
OH,12.18
OK,8.88
OR,10.67
PA,12.55
RI,22.68
SC,12.1
SD,10.55
TN,10.88
TX,11.44
UT,9.93
VT,11.48
VA,16.78
WA,9.41
WV,13.56
WI,9.84
WY,10.53